keyword,volume,kd,opp_score,category,url
молба за напускане,6600,9.0,6006.0,molbi,/obrazec/molbi/molba-za-napuskane
заявление,2900,23.0,2233.0,zayavleniya,/obrazec/zayavleniya/zayavlenie
приемо предавателен протокол,2400,9.0,2184.0,protokoli,/obrazec/protokoli/priemo-predavatelen-protokol
молба за отпуск,1900,5.0,1805.0,molbi,/obrazec/molbi/molba-za-otpusk
молба за напускане на работа,1900,8.0,1748.0,molbi,/obrazec/molbi/molba-za-napuskane-na-rabota
заявление за работа,1600,8.0,1472.0,zayavleniya,/obrazec/zayavleniya/zayavlenie-za-rabota
молба за работа,1300,4.0,1248.0,molbi,/obrazec/molbi/molba-za-rabota
протокол,1300,17.0,1079.0,protokoli,/obrazec/protokoli/protokol
ръчно написана молба за напускане,1000,6.0,940.0,molbi,/obrazec/molbi/rachno-napisana-molba-za-napuskane
двустранен протокол,1000,9.0,910.0,protokoli,/obrazec/protokoli/dvustranen-protokol
заявление за напускане на работа,880,7.0,818.4,zayavleniya,/obrazec/zayavleniya/zayavlenie-za-napuskane-na-rabota
молба за напускане с предизвестие,880,7.0,818.4,molbi,/obrazec/molbi/molba-za-napuskane-s-predizvestie
иск,1000,25.0,750.0,isk,/obrazec/iskove/isk
молба за отсъствия по семейни причини до класен ръководител,720,4.0,691.1999999999999,molbi,/obrazec/molbi/molba-za-otsastviya-po-semeyni-prichini-do-klasen-rakovoditel
образец молба за отсъствия по семейни причини,720,4.0,691.1999999999999,molbi,/obrazec/molbi/obrazec-molba-za-otsastviya-po-semeyni-prichini
молба за напускане по взаимно съгласие,720,5.0,684.0,molbi,/obrazec/molbi/molba-za-napuskane-po-vzaimno-saglasie
кзп жалба,880,24.0,668.8,zhalba,/obrazec/zhalba/kzp-zhalba
образец на жалба до нелк,720,8.0,662.4,zhalba,/obrazec/zhalba/obrazec-na-zhalba-do-nelk
анекс,720,11.0,640.8,aneksi,/obrazec/aneksi/aneks
заявление декларация за отпускане на целева помощ за отопление образец,720,13.0,626.4,zayavleniya,/obrazec/zayavleniya/zayavlenie-deklaraciya-za-otpuskane-na-celeva-pomosht-za-otoplenie-obrazec
заявление за отсъствие по семейни причини,590,4.0,566.4,zayavleniya,/obrazec/zayavleniya/zayavlenie-za-otsastvie-po-semeyni-prichini
заявление за отсъствия по семейни причини,590,4.0,566.4,zayavleniya,/obrazec/zayavleniya/zayavlenie-za-otsastviya-po-semeyni-prichini
образец за заявление за работа,590,5.0,560.5,zayavleniya,/obrazec/zayavleniya/obrazec-za-zayavlenie-za-rabota
как се попълва молба декларация за детски надбавки образец,590,14.0,507.4,molbi,/obrazec/molbi/kak-se-popalva-molba-deklaraciya-za-detski-nadbavki-obrazec
молба за назначаване на работа,480,2.0,470.4,molbi,/obrazec/molbi/molba-za-naznachavane-na-rabota
приемо предавателен протокол бланка,480,3.0,465.59999999999997,protokoli,/obrazec/protokoli/priemo-predavatelen-protokol-blanka
констативен протокол,480,4.0,460.79999999999995,protokoli,/obrazec/protokoli/konstativen-protokol
жалба до инспекцията по труда образец,480,6.0,451.2,zhalba,/obrazec/zhalba/zhalba-do-inspekciyata-po-truda-obrazec
протокол от общо събрание,480,7.0,446.4,protokoli,/obrazec/protokoli/protokol-ot-obshto-sabranie
как се пише заявление,480,8.0,441.6,zayavleniya,/obrazec/zayavleniya/kak-se-pishe-zayavlenie
къде се подава молба за спиране на парно,480,8.0,441.6,molbi,/obrazec/molbi/kade-se-podava-molba-za-spirane-na-parno
заявление декларация за детски надбавки 2024 образец,480,9.0,436.8,zayavleniya,/obrazec/zayavleniya/zayavlenie-deklaraciya-za-detski-nadbavki-2024-obrazec
как се пише жалба до полицията,480,9.0,436.8,zhalba,/obrazec/zhalba/kak-se-pishe-zhalba-do-policiyata
процедура след подаване на жалба в полицията,480,9.0,436.8,zhalba,/obrazec/zhalba/procedura-sled-podavane-na-zhalba-v-policiyata
свободен жалба образец,480,9.0,436.8,zhalba,/obrazec/zhalba/svoboden-zhalba-obrazec
жалба до нелк срещу експертно решение на телк образец,480,10.0,432.0,zhalba,/obrazec/zhalba/zhalba-do-nelk-sreshtu-ekspertno-reshenie-na-telk-obrazec
подаване на заявление за европейска здравна карта онлайн,590,29.0,418.9,zayavleniya,/obrazec/zayavleniya/podavane-na-zayavlenie-za-evropeyska-zdravna-karta-onlayn
жалба,480,16.0,403.2,zhalba,/obrazec/zhalba/zhalba
образец на молба за работа свободен текст,390,2.0,382.2,molbi,/obrazec/molbi/obrazec-na-molba-za-rabota-svoboden-tekst
заявление до директора,390,3.0,378.3,zayavleniya,/obrazec/zayavleniya/zayavlenie-do-direktora
приемо предавателен протокол образец,390,3.0,378.3,protokoli,/obrazec/protokoli/priemo-predavatelen-protokol-obrazec
подаване на жалба за тормоз в полицията,390,5.0,370.5,zhalba,/obrazec/zhalba/podavane-na-zhalba-za-tormoz-v-policiyata
молба за обжалване решение на телк,390,5.0,370.5,molbi,/obrazec/molbi/molba-za-obzhalvane-reshenie-na-telk
анекс към договор,390,6.0,366.59999999999997,aneksi,/obrazec/aneksi/aneks-kam-dogovor
заявление за регистрация на кладенец за собствени нужди,390,6.0,366.59999999999997,zayavleniya,/obrazec/zayavleniya/zayavlenie-za-registraciya-na-kladenec-za-sobstveni-nuzhdi
как се пише молба за напускане,390,6.0,366.59999999999997,molbi,/obrazec/molbi/kak-se-pishe-molba-za-napuskane
молба за напускане без предизвестие,390,6.0,366.59999999999997,molbi,/obrazec/molbi/molba-za-napuskane-bez-predizvestie
анекс към договор за наем,390,8.0,358.8,aneksi,/obrazec/aneksi/aneks-kam-dogovor-za-naem
молба за изплащане на обезщетение при пенсиониране,390,8.0,358.8,molbi,/obrazec/molbi/molba-za-izplashtane-na-obezshtetenie-pri-pensionirane
електронно подаване на заявление за гласуване по настоящ адрес,390,9.0,354.90000000000003,zayavleniya,/obrazec/zayavleniya/elektronno-podavane-na-zayavlenie-za-glasuvane-po-nastoyasht-adres
